,atc_code,atc_name,rank
95,A02BC01,omeprazole,4.0
96,A02BC02,pantoprazole,4.0
97,A02BC03,lansoprazole,4.0
98,A02BC04,rabeprazole,4.0
99,A02BC05,esomeprazole,4.0
100,A02BC06,dexlansoprazole,4.0
101,A02BC07,dexrabeprazole,4.0
102,A02BC08,vonoprazan,4.0
103,A02BC53,"lansoprazole, combinations",4.0
104,A02BC54,"rabeprazole, combinations",4.0
105,A02BD,Combinations for eradication of Helicobacter pylori,3.0
106,A02BD01,"omeprazole, amoxicillin and metronidazole",4.0
107,A02BD02,"lansoprazole, tetracycline and metronidazole",4.0
108,A02BD03,"lansoprazole, amoxicillin and metronidazole",4.0
109,A02BD04,"pantoprazole, amoxicillin and clarithromycin",4.0
110,A02BD05,"omeprazole, amoxicillin and clarithromycin",4.0
111,A02BD06,"esomeprazole, amoxicillin and clarithromycin",4.0
112,A02BD07,"lansoprazole, amoxicillin and clarithromycin",4.0
113,A02BD08,"bismuth subcitrate, tetracycline and metronidazole",4.0
114,A02BD09,"lansoprazole, clarithromycin and tinidazole",4.0
115,A02BD10,"lansoprazole, amoxicillin and levofloxacin",4.0
116,A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole",4.0
117,A02BD12,"rabeprazole, amoxicillin and clarithromycin",4.0
118,A02BD13,"rabeprazole, amoxicillin and metronidazole",4.0
119,A02BD14,"vonoprazan, amoxicillin and clarithromycin",4.0
120,A02BD15,"vonoprazan, amoxicillin and metronidazole",4.0
121,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),3.0
122,A02BX01,carbenoxolone,4.0
123,A02BX02,sucralfate,4.0
124,A02BX03,pirenzepine,4.0
125,A02BX04,methiosulfonium chloride,4.0
126,A02BX05,bismuth subcitrate,4.0
127,A02BX06,proglumide,4.0
128,A02BX07,gefarnate,4.0
129,A02BX08,sulglicotide,4.0
130,A02BX09,acetoxolone,4.0
131,A02BX10,zolimidine,4.0
132,A02BX11,troxipide,4.0
133,A02BX12,bismuth subnitrate,4.0
134,A02BX13,alginic acid,4.0
135,A02BX14,rebamipide,4.0
136,A02BX51,"carbenoxolone, combinations excl. psycholeptics",4.0
137,A02BX71,"carbenoxolone, combinations with psycholeptics",4.0
138,A02BX77,"gefarnate, combinations with psycholeptics",4.0
139,A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,2.0
140,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,1.0
141,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,2.0
142,A03AA,"Synthetic anticholinergics, esters with tertiary amino group",3.0
143,A03AA01,oxyphencyclimine,4.0
144,A03AA03,camylofin,4.0
145,A03AA04,mebeverine,4.0
146,A03AA05,trimebutine,4.0
147,A03AA06,rociverine,4.0
148,A03AA07,dicycloverine,4.0
149,A03AA08,dihexyverine,4.0
150,A03AA09,difemerine,4.0
151,A03AA30,piperidolate,4.0
152,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",3.0
153,A03AB01,benzilone,4.0
154,A03AB02,glycopyrronium bromide,4.0
155,A03AB03,oxyphenonium,4.0
156,A03AB04,penthienate,4.0
157,A03AB05,propantheline,4.0
158,A03AB06,otilonium bromide,4.0
159,A03AB07,methantheline,4.0
160,A03AB08,tridihexethyl,4.0
161,A03AB09,isopropamide,4.0
162,A03AB10,hexocyclium,4.0
163,A03AB11,poldine,4.0
164,A03AB12,mepenzolate,4.0
165,A03AB13,bevonium,4.0
166,A03AB14,pipenzolate,4.0
167,A03AB15,diphemanil,4.0
168,A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,4.0
169,A03AB17,tiemonium iodide,4.0
170,A03AB18,prifinium bromide,4.0
171,A03AB19,timepidium bromide,4.0
172,A03AB21,fenpiverinium,4.0
173,A03AB53,"oxyphenonium, combinations",4.0
174,A03AC,"Synthetic antispasmodics, amides with tertiary amines",3.0
175,A03AC02,dimethylaminopropionylphenothiazine,4.0
176,A03AC04,nicofetamide,4.0
177,A03AC05,tiropramide,4.0
178,A03AD,Papaverine and derivatives,3.0
179,A03AD01,papaverine,4.0
180,A03AD02,drotaverine,4.0
181,A03AD30,moxaverine,4.0
182,A03AE,Serotonin receptor antagonists,3.0
183,A03AE01,alosetron,4.0
184,A03AE03,cilansetron,4.0
185,A03AX,Other drugs for functional gastrointestinal disorders,3.0
186,A03AX01,fenpiprane,4.0
187,A03AX02,diisopromine,4.0
188,A03AX03,chlorbenzoxamine,4.0
189,A03AX04,pinaverium,4.0
190,A03AX05,fenoverine,4.0
191,A03AX06,idanpramine,4.0
192,A03AX07,proxazole,4.0
193,A03AX08,alverine,4.0
194,A03AX09,trepibutone,4.0
195,A03AX10,isometheptene,4.0
196,A03AX11,caroverine,4.0
197,A03AX12,phloroglucinol,4.0
198,A03AX13,silicones,4.0
199,A03AX14,valethamate,4.0
200,A03AX15,menthae piperitae aetheroleum,4.0
201,A03AX30,trimethyldiphenylpropylamine,4.0
202,A03AX58,"alverine, combinations",4.0
203,A03B,"BELLADONNA AND DERIVATIVES, PLAIN",2.0
204,A03BA,"Belladonna alkaloids, tertiary amines",3.0
205,A03BA01,atropine,4.0
206,A03BA03,hyoscyamine,4.0
207,A03BA04,belladonna total alkaloids,4.0
208,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",3.0
209,A03BB01,butylscopolamine,4.0
210,A03BB02,methylatropine,4.0
211,A03BB03,methylscopolamine,4.0
212,A03BB04,fentonium,4.0
213,A03BB05,cimetropium bromide,4.0
214,A03BB06,homatropine methylbromide,4.0
215,A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,2.0
216,A03CA,Synthetic anticholinergic agents in combination with psycholeptics,3.0
217,A03CA01,isopropamide and psycholeptics,4.0
218,A03CA02,clidinium and psycholeptics,4.0
219,A03CA03,oxyphencyclimine and psycholeptics,4.0
220,A03CA04,otilonium bromide and psycholeptics,4.0
221,A03CA05,glycopyrronium bromide and psycholeptics,4.0
222,A03CA06,bevonium and psycholeptics,4.0
223,A03CA07,ambutonium and psycholeptics,4.0
224,A03CA08,diphemanil and psycholeptics,4.0
225,A03CA09,pipenzolate and psycholeptics,4.0
226,A03CA30,emepronium and psycholeptics,4.0
227,A03CA34,propantheline and psycholeptics,4.0
228,A03CB,Belladonna and derivatives in combination with psycholeptics,3.0
229,A03CB01,methylscopolamine and psycholeptics,4.0
230,A03CB02,belladonna total alkaloids and psycholeptics,4.0
231,A03CB03,atropine and psycholeptics,4.0
232,A03CB04,homatropine methylbromide and psycholeptics,4.0
233,A03CB31,hyoscyamine and psycholeptics,4.0
234,A03CC,Other antispasmodics in combination with psycholeptics,3.0
235,A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,2.0
236,A03DA,Synthetic anticholinergic agents in combination with analgesics,3.0
237,A03DA01,tropenzilone and analgesics,4.0
238,A03DA02,pitofenone and analgesics,4.0
239,A03DA03,bevonium and analgesics,4.0
240,A03DA04,ciclonium and analgesics,4.0
241,A03DA05,camylofin and analgesics,4.0
242,A03DA06,trospium and analgesics,4.0
243,A03DA07,tiemonium iodide and analgesics,4.0
244,A03DB,Belladonna and derivatives in combination with analgesics,3.0
245,A03DB04,butylscopolamine and analgesics,4.0
246,A03DC,Other antispasmodics in combination with analgesics,3.0
247,A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,2.0
248,A03EA,"Antispasmodics, psycholeptics and analgesics in combination",3.0
249,A03ED,Antispasmodics in combination with other drugs,3.0
250,A03F,PROPULSIVES,2.0
251,A03FA,Propulsives,3.0
252,A03FA01,metoclopramide,4.0
253,A03FA02,cisapride,4.0
254,A03FA03,domperidone,4.0
255,A03FA04,bromopride,4.0
256,A03FA05,alizapride,4.0
257,A03FA06,clebopride,4.0
258,A03FA07,itopride,4.0
259,A03FA08,cinitapride,4.0
260,A03FA09,mosapride,4.0
261,A04,ANTIEMETICS AND ANTINAUSEANTS,1.0
262,A04A,ANTIEMETICS AND ANTINAUSEANTS,2.0
263,A04AA,Serotonin (5HT3) antagonists,3.0
264,A04AA01,ondansetron,4.0
265,A04AA02,granisetron,4.0
266,A04AA03,tropisetron,4.0
267,A04AA04,dolasetron,4.0
268,A04AA05,palonosetron,4.0
269,A04AA55,"palonosetron, combinations",4.0
270,A04AD,Other antiemetics,3.0
271,A04AD01,scopolamine,4.0
272,A04AD02,cerium oxalate,4.0
273,A04AD04,chlorobutanol,4.0
274,A04AD05,metopimazine,4.0
275,A04AD10,dronabinol,4.0
276,A04AD11,nabilone,4.0
277,A04AD12,aprepitant,4.0
278,A04AD13,casopitant,4.0
279,A04AD14,rolapitant,4.0
280,A04AD51,"scopolamine, combinations",4.0
281,A04AD54,"chlorobutanol, combinations",4.0
282,A05,BILE AND LIVER THERAPY,1.0
283,A05A,BILE THERAPY,2.0
284,A05AA,Bile acids and derivatives,3.0
285,A05AA01,chenodeoxycholic acid,4.0
286,A05AA02,ursodeoxycholic acid,4.0
287,A05AA03,cholic acid,4.0
288,A05AA04,obeticholic acid,4.0
289,A05AB,Preparations for biliary tract therapy,3.0
290,A05AB01,nicotinyl methylamide,4.0
291,A05AX,Other drugs for bile therapy,3.0
292,A05AX01,piprozolin,4.0
293,A05AX02,hymecromone,4.0
294,A05AX03,cyclobutyrol,4.0
295,A05B,"LIVER THERAPY, LIPOTROPICS",2.0
296,A05BA,Liver therapy,3.0
297,A05BA01,arginine glutamate,4.0
298,A05BA03,silymarin,4.0
299,A05BA04,citiolone,4.0
300,A05BA05,epomediol,4.0
301,A05BA06,ornithine oxoglurate,4.0
302,A05BA07,tidiacic arginine,4.0
303,A05BA08,glycyrrhizic acid,4.0
304,A05BA09,metadoxine,4.0
305,A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,2.0
306,A06,DRUGS FOR CONSTIPATION,1.0
307,A06A,DRUGS FOR CONSTIPATION,2.0
308,A06AA,"Softeners, emollients",3.0
309,A06AA01,liquid paraffin,4.0
310,A06AA02,docusate sodium,4.0
311,A06AA51,"liquid paraffin, combinations",4.0
312,A06AB,Contact laxatives,3.0
313,A06AB01,oxyphenisatine,4.0
314,A06AB02,bisacodyl,4.0
315,A06AB03,dantron,4.0
316,A06AB04,phenolphthalein,4.0
317,A06AB05,castor oil,4.0
318,A06AB06,senna glycosides,4.0
319,A06AB07,cascara,4.0
320,A06AB08,sodium picosulfate,4.0
321,A06AB09,bisoxatin,4.0
322,A06AB20,contact laxatives in combination,4.0
323,A06AB30,contact laxatives in combination with belladonna alkaloids,4.0
324,A06AB52,"bisacodyl, combinations",4.0
325,A06AB53,"dantron, combinations",4.0
326,A06AB56,"senna glycosides, combinations",4.0
327,A06AB57,"cascara, combinations",4.0
328,A06AB58,"sodium picosulfate, combinations",4.0
329,A06AC,Bulk-forming laxatives,3.0
330,A06AC01,ispaghula (psylla seeds),4.0
331,A06AC02,ethulose,4.0
332,A06AC03,sterculia,4.0
333,A06AC05,linseed,4.0
334,A06AC06,methylcellulose,4.0
335,A06AC07,triticum (wheat fibre),4.0
336,A06AC08,polycarbophil calcium,4.0
337,A06AC51,"ispaghula, combinations",4.0
338,A06AC53,"sterculia, combinations",4.0
339,A06AC55,"linseed, combinations",4.0
340,A06AD,Osmotically acting laxatives,3.0
341,A06AD01,magnesium carbonate,4.0
342,A06AD02,magnesium oxide,4.0
343,A06AD03,magnesium peroxide,4.0
344,A06AD04,magnesium sulfate,4.0
345,A06AD10,mineral salts in combination,4.0
346,A06AD11,lactulose,4.0
347,A06AD12,lactitol,4.0
348,A06AD13,sodium sulfate,4.0
349,A06AD14,pentaerithrityl,4.0
350,A06AD15,macrogol,4.0
351,A06AD16,mannitol,4.0
352,A06AD17,sodium phosphate,4.0
353,A06AD18,sorbitol,4.0
354,A06AD19,magnesium citrate,4.0
355,A06AD21,sodium tartrate,4.0
356,A06AD61,"lactulose, combinations",4.0
357,A06AD65,"macrogol, combinations",4.0
358,A06AG,Enemas,3.0
359,A06AG01,sodium phosphate,4.0
360,A06AG02,bisacodyl,4.0
361,A06AG03,"dantron, incl. combinations",4.0
362,A06AG04,glycerol,4.0
363,A06AG06,oil,4.0
364,A06AG07,sorbitol,4.0
365,A06AG10,"docusate sodium, incl. combinations",4.0
366,A06AG11,"sodium lauryl sulfoacetate, incl. combinations",4.0
367,A06AG20,combinations,4.0
368,A06AH,Peripheral opioid receptor antagonists,3.0
369,A06AH01,methylnaltrexone bromide,4.0
370,A06AH02,alvimopan,4.0
371,A06AH03,naloxegol,4.0
372,A06AH04,naloxone,4.0
373,A06AH05,naldemedine,4.0
374,A06AX,Other drugs for constipation,3.0
375,A06AX01,glycerol,4.0
376,A06AX02,carbon dioxide producing drugs,4.0
377,A06AX03,lubiprostone,4.0
378,A06AX04,linaclotide,4.0
379,A06AX05,prucalopride,4.0
380,A06AX06,tegaserod,4.0
381,A06AX07,plecanatide,4.0
382,A06AX08,tenapanor,4.0
383,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",1.0
384,A07A,INTESTINAL ANTIINFECTIVES,2.0
385,A07AA,Antibiotics,3.0
386,A07AA01,neomycin,4.0
387,A07AA02,nystatin,4.0
388,A07AA03,natamycin,4.0
389,A07AA04,streptomycin,4.0
390,A07AA05,polymyxin B,4.0
391,A07AA06,paromomycin,4.0
392,A07AA07,amphotericin B,4.0
393,A07AA08,kanamycin,4.0
394,A07AA09,vancomycin,4.0
395,A07AA10,colistin,4.0
396,A07AA11,rifaximin,4.0
397,A07AA12,fidaxomicin,4.0
398,A07AA13,rifamycin,4.0
399,A07AA51,"neomycin, combinations",4.0
400,A07AA54,"streptomycin, combinations",4.0
401,A07AB,Sulfonamides,3.0
402,A07AB02,phthalylsulfathiazole,4.0
403,A07AB03,sulfaguanidine,4.0
404,A07AB04,succinylsulfathiazole,4.0
405,A07AC,Imidazole derivatives,3.0
406,A07AC01,miconazole,4.0
407,A07AX,Other intestinal antiinfectives,3.0
408,A07AX01,broxyquinoline,4.0
409,A07AX02,acetarsol,4.0
410,A07AX03,nifuroxazide,4.0
411,A07AX04,nifurzide,4.0
412,A07B,INTESTINAL ADSORBENTS,2.0
413,A07BA,Charcoal preparations,3.0
414,A07BA01,medicinal charcoal,4.0
415,A07BA51,"medicinal charcoal, combinations",4.0
416,A07BB,Bismuth preparations,3.0
417,A07BC,Other intestinal adsorbents,3.0
418,A07BC01,pectin,4.0
419,A07BC02,kaolin,4.0
420,A07BC03,crospovidone,4.0
421,A07BC04,attapulgite,4.0
422,A07BC05,diosmectite,4.0
423,A07BC30,combinations,4.0
424,A07BC54,"attapulgite, combinations",4.0
425,A07C,ELECTROLYTES WITH CARBOHYDRATES,2.0
426,A07CA,Oral rehydration salt formulations,3.0
427,A07D,ANTIPROPULSIVES,2.0
428,A07DA,Antipropulsives,3.0
429,A07DA01,diphenoxylate,4.0
430,A07DA02,opium,4.0
431,A07DA03,loperamide,4.0
432,A07DA04,difenoxin,4.0
433,A07DA05,loperamide oxide,4.0
434,A07DA06,eluxadoline,4.0
435,A07DA52,"morphine, combinations",4.0
436,A07DA53,"loperamide, combinations",4.0
437,A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,2.0
438,A07EA,Corticosteroids acting locally,3.0
439,A07EA01,prednisolone,4.0
440,A07EA02,hydrocortisone,4.0
441,A07EA03,prednisone,4.0
442,A07EA04,betamethasone,4.0
443,A07EA05,tixocortol,4.0
444,A07EA06,budesonide,4.0
445,A07EA07,beclometasone,4.0
446,A07EB,"Antiallergic agents, excl. corticosteroids",3.0
447,A07EB01,cromoglicic acid,4.0
448,A07EC,Aminosalicylic acid and similar agents,3.0
449,A07EC01,sulfasalazine,4.0
450,A07EC02,mesalazine,4.0
451,A07EC03,olsalazine,4.0
452,A07EC04,balsalazide,4.0
453,A07F,ANTIDIARRHEAL MICROORGANISMS,2.0
454,A07FA,Antidiarrheal microorganisms,3.0
455,A07FA01,lactic acid producing organisms,4.0
456,A07FA02,saccharomyces boulardii,4.0
457,A07FA51,"lactic acid producing organisms, combinations",4.0
458,A07X,OTHER ANTIDIARRHEALS,2.0
459,A07XA,Other antidiarrheals,3.0
460,A07XA01,albumin tannate,4.0
461,A07XA02,ceratonia,4.0
462,A07XA03,calcium compounds,4.0
463,A07XA04,racecadotril,4.0
464,A07XA06,crofelemer,4.0
465,A07XA51,"albumin tannate, combinations",4.0
466,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",1.0
467,A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",2.0
468,A08AA,Centrally acting antiobesity products,3.0
469,A08AA01,phentermine,4.0
470,A08AA02,fenfluramine,4.0
471,A08AA03,amfepramone,4.0
472,A08AA04,dexfenfluramine,4.0
473,A08AA05,mazindol,4.0
474,A08AA06,etilamfetamine,4.0
475,A08AA07,cathine,4.0
476,A08AA08,clobenzorex,4.0
477,A08AA09,mefenorex,4.0
478,A08AA10,sibutramine,4.0
479,A08AA11,lorcaserin,4.0
480,A08AA56,"ephedrine, combinations",4.0
481,A08AA62,bupropion and naltrexone,4.0
482,A08AB,Peripherally acting antiobesity products,3.0
483,A08AB01,orlistat,4.0
484,A08AX,Other antiobesity drugs,3.0
485,A08AX01,rimonabant,4.0
486,A09,"DIGESTIVES, INCL. ENZYMES",1.0
487,A09A,"DIGESTIVES, INCL. ENZYMES",2.0
488,A09AA,Enzyme preparations,3.0
489,A09AA01,diastase,4.0
490,A09AA02,"multienzymes (lipase, protease etc.)",4.0
491,A09AA03,pepsin,4.0
492,A09AA04,tilactase,4.0
493,A09AB,Acid preparations,3.0
494,A09AB01,glutamic acid hydrochloride,4.0
495,A09AB02,betaine hydrochloride,4.0
496,A09AB03,hydrochloric acid,4.0
497,A09AB04,citric acid,4.0
498,A09AC,"Enzyme and acid preparations, combinations",3.0
499,A09AC01,pepsin and acid preparations,4.0
500,A09AC02,multienzymes and acid preparations,4.0
501,A10,DRUGS USED IN DIABETES,1.0
502,A10A,INSULINS AND ANALOGUES,2.0
503,A10AB,"Insulins and analogues for injection, fast-acting",3.0
504,A10AB01,insulin (human),4.0
505,A10AB02,insulin (beef),4.0
506,A10AB03,insulin (pork),4.0
507,A10AB04,insulin lispro,4.0
508,A10AB05,insulin aspart,4.0
509,A10AB06,insulin glulisine,4.0
510,A10AB30,combinations,4.0
511,A10AC,"Insulins and analogues for injection, intermediate-acting",3.0
512,A10AC01,insulin (human),4.0
513,A10AC02,insulin (beef),4.0
514,A10AC03,insulin (pork),4.0
515,A10AC04,insulin lispro,4.0
516,A10AC30,combinations,4.0
517,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",3.0
518,A10AD01,insulin (human),4.0
519,A10AD02,insulin (beef),4.0
520,A10AD03,insulin (pork),4.0
521,A10AD04,insulin lispro,4.0
522,A10AD05,insulin aspart,4.0
523,A10AD06,insulin degludec and insulin aspart,4.0
524,A10AD30,combinations,4.0
525,A10AE,"Insulins and analogues for injection, long-acting",3.0
526,A10AE01,insulin (human),4.0
527,A10AE02,insulin (beef),4.0
528,A10AE03,insulin (pork),4.0
529,A10AE04,insulin glargine,4.0
530,A10AE05,insulin detemir,4.0
531,A10AE06,insulin degludec,4.0
532,A10AE30,combinations,4.0
533,A10AE54,insulin glargine and lixisenatide,4.0
534,A10AE56,insulin degludec and liraglutide,4.0
535,A10AF,Insulins and analogues for inhalation,3.0
536,A10AF01,insulin (human),4.0
537,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",2.0
538,A10BA,Biguanides,3.0
539,A10BA01,phenformin,4.0
540,A10BA02,metformin,4.0
541,A10BA03,buformin,4.0
542,A10BB,Sulfonylureas,3.0
543,A10BB01,glibenclamide,4.0
544,A10BB02,chlorpropamide,4.0
545,A10BB03,tolbutamide,4.0
546,A10BB04,glibornuride,4.0
547,A10BB05,tolazamide,4.0
548,A10BB06,carbutamide,4.0
549,A10BB07,glipizide,4.0
550,A10BB08,gliquidone,4.0
551,A10BB09,gliclazide,4.0
552,A10BB10,metahexamide,4.0
553,A10BB11,glisoxepide,4.0
554,A10BB12,glimepiride,4.0
555,A10BB31,acetohexamide,4.0
556,A10BC,Sulfonamides (heterocyclic),3.0
557,A10BC01,glymidine,4.0
558,A10BD,Combinations of oral blood glucose lowering drugs,3.0
559,A10BD01,phenformin and sulfonylureas,4.0
560,A10BD02,metformin and sulfonylureas,4.0
561,A10BD03,metformin and rosiglitazone,4.0
562,A10BD04,glimepiride and rosiglitazone,4.0
563,A10BD05,metformin and pioglitazone,4.0
564,A10BD06,glimepiride and pioglitazone,4.0
565,A10BD07,metformin and sitagliptin,4.0
566,A10BD08,metformin and vildagliptin,4.0
567,A10BD09,pioglitazone and alogliptin,4.0
568,A10BD10,metformin and saxagliptin,4.0
569,A10BD11,metformin and linagliptin,4.0
570,A10BD12,pioglitazone and sitagliptin,4.0
571,A10BD13,metformin and alogliptin,4.0
572,A10BD14,metformin and repaglinide,4.0
573,A10BD15,metformin and dapagliflozin,4.0
574,A10BD16,metformin and canagliflozin,4.0
575,A10BD17,metformin and acarbose,4.0
576,A10BD18,metformin and gemigliptin,4.0
577,A10BD19,linagliptin and empagliflozin,4.0
578,A10BD20,metformin and empagliflozin,4.0
579,A10BD21,saxagliptin and dapagliflozin,4.0
580,A10BD22,metformin and evogliptin,4.0
581,A10BD23,metformin and ertugliflozin,4.0
582,A10BD24,sitagliptin and ertugliflozin,4.0
583,A10BD25,"metformin, saxagliptin and dapagliflozin",4.0
584,A10BD26,metformin and lobeglitazone,4.0
585,A10BF,Alpha glucosidase inhibitors,3.0
586,A10BF01,acarbose,4.0
587,A10BF02,miglitol,4.0
588,A10BF03,voglibose,4.0
589,A10BG,Thiazolidinediones,3.0
590,A10BG01,troglitazone,4.0
591,A10BG02,rosiglitazone,4.0
592,A10BG03,pioglitazone,4.0
593,A10BG04,lobeglitazone,4.0
594,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,3.0
595,A10BH01,sitagliptin,4.0
596,A10BH02,vildagliptin,4.0
597,A10BH03,saxagliptin,4.0
598,A10BH04,alogliptin,4.0
599,A10BH05,linagliptin,4.0
600,A10BH06,gemigliptin,4.0
601,A10BH07,evogliptin,4.0
602,A10BH08,teneligliptin,4.0
603,A10BH51,sitagliptin and simvastatin,4.0
604,A10BH52,gemigliptin and rosuvastatin,4.0
605,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,3.0
606,A10BJ01,exenatide,4.0
607,A10BJ02,liraglutide,4.0
608,A10BJ03,lixisenatide,4.0
609,A10BJ04,albiglutide,4.0
610,A10BJ05,dulaglutide,4.0
611,A10BJ06,semaglutide,4.0
612,A10BJ07,beinaglutide,4.0
613,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,3.0
614,A10BK01,dapagliflozin,4.0
615,A10BK02,canagliflozin,4.0
616,A10BK03,empagliflozin,4.0
617,A10BK04,ertugliflozin,4.0
618,A10BK05,ipragliflozin,4.0
619,A10BK06,sotagliflozin,4.0
620,A10BK07,luseogliflozin,4.0
621,A10BX,"Other blood glucose lowering drugs, excl. insulins",3.0
622,A10BX01,guar gum,4.0
623,A10BX02,repaglinide,4.0
624,A10BX03,nateglinide,4.0
625,A10BX05,pramlintide,4.0
626,A10BX06,benfluorex,4.0
627,A10BX08,mitiglinide,4.0
628,A10X,OTHER DRUGS USED IN DIABETES,2.0
629,A10XA,Aldose reductase inhibitors,3.0
630,A10XA01,tolrestat,4.0
631,A11,VITAMINS,1.0
632,A11A,"MULTIVITAMINS, COMBINATIONS",2.0
633,A11AA,Multivitamins with minerals,3.0
